                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9208,                 4.2133,                 4.1469,                0.00083,                0.08065,                0.00049,                0.00015,                 3.9379,                 4.1306,                 4.1275,             0.00065152,             0.00065152,             0.00065152
                      2,                 3.4553,                 3.8024,                 3.7681,                0.00107,                0.10323,                0.00071,                0.00021,                 3.7231,                 4.1377,                  3.855,             0.00088318,             0.00088318,             0.00088318
                      3,                 3.1343,                 3.4719,                  3.366,                0.00358,                0.34677,                0.00471,                0.00145,                 3.1632,                 3.6635,                 3.5385,             0.00067485,             0.00067485,             0.00067485
